round,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,id,total_event_transfers_cost
1,68,68,984401,1006400,984401,0,1000,0,0,3,1523239,0
2,75,143,1137081,1146440,421282,0,1000,0,0,1,1523239,0
3,51,194,1692936,1704422,282295,3,1000,1,0,11,1523239,0
4,57,251,2165150,2176419,361182,8,1002,1,0,1,1523239,0
5,67,318,2559699,2569251,381989,27,1000,2,0,2,1523239,0
6,54,372,2252022,2265424,346520,27,1005,0,0,6,1523239,0
7,46,418,5370540,5378772,545356,23,1004,2,0,3,1523239,0
8,60,478,2754806,2770547,598396,41,1007,1,0,0,1523239,0
9,34,512,6834105,6840687,1327683,41,1004,0,0,0,1523239,0
10,54,566,1725058,1735819,1145172,56,1000,2,0,0,1523239,0
11,85,651,378533,382992,726450,56,1001,0,0,5,1523239,0
12,65,716,1205118,1218900,610758,25,1005,1,0,6,1523239,0
13,51,767,1425353,1445406,524986,25,1007,0,0,8,1523239,0
14,89,856,319183,324441,307002,7,1008,1,0,7,1523239,0
15,42,898,3765164,3777857,375831,9,1014,1,0,3,1523239,0
16,54,952,661534,671398,290769,27,1016,1,0,0,1523239,0
17,45,997,6061562,6065685,494748,9,1019,1,0,1,1523239,0
18,3,1000,5990097,5998585,571306,5,1017,2,0,0,1523239,0
1,68,68,984401,1051902,984401,0,1000,0,0,1,5403039,0
2,62,126,2701528,2713497,1352519,4,999,2,4,8,5403039,4
3,36,158,5086449,5123821,2251761,11,999,2,4,3,5403039,8
4,56,210,2341788,2364262,2088748,17,1001,2,4,1,5403039,12
5,68,278,2309679,2348280,1759127,1,1003,0,0,3,5403039,12
6,59,337,1400860,1442866,1372403,1,1010,0,0,11,5403039,12
7,55,392,3254408,3306818,1357108,1,1012,1,0,1,5403039,12
8,71,451,968798,971107,1403699,8,1011,4,12,8,5403039,24
9,69,516,1457392,1490679,1219276,25,1013,2,4,3,5403039,28
10,44,560,3910535,3964473,1337724,28,1017,1,0,3,5403039,28
11,69,621,2648278,2658402,1528301,1,1019,3,8,1,5403039,36
12,67,688,923275,956078,1253588,5,1018,1,0,12,5403039,36
13,48,736,2305411,2363123,1185040,3,1019,1,0,4,5403039,36
14,78,814,1227983,1253002,972446,42,1022,1,0,4,5403039,36
15,50,856,2089496,2101729,1065171,3,1023,3,8,8,5403039,44
16,67,923,31941,35087,646000,3,1027,0,0,3,5403039,44
17,53,976,4726370,4750432,808544,1,1027,1,0,8,5403039,44
18,9,985,2772015,2922727,800463,4,1016,0,0,0,5403039,44
1,28,28,5064287,5134244,5064287,5,1000,0,0,3,5389914,0
2,86,110,505663,509244,2678844,10,999,2,4,1,5389914,4
3,43,153,3355315,3404662,2644003,5,1001,1,0,2,5389914,4
4,52,201,2913443,2936399,2633162,0,1001,2,4,18,5389914,8
5,58,259,3901245,3944724,2724255,2,1002,0,0,6,5389914,8
6,67,326,562480,582381,1850435,1,1007,1,0,13,5389914,8
7,40,366,6291677,6343258,2493654,1,1010,0,0,9,5389914,8
8,64,422,2057399,2067528,2554677,3,1010,3,8,6,5389914,16
9,67,477,1837041,1840952,2646259,5,1012,4,12,6,5389914,28
10,63,540,452422,470689,2003808,5,1018,0,0,7,5389914,28
11,65,605,3432041,3466604,2036658,5,1022,2,0,2,5389914,28
12,58,659,2571439,2604025,2096130,5,1024,2,4,3,5389914,32
13,35,694,5947270,6029354,2383991,5,1027,0,0,22,5389914,32
14,84,778,603725,631457,1837141,5,1030,0,0,2,5389914,32
15,51,829,1801409,1841104,1680798,6,1029,1,0,1,5389914,32
16,51,876,1102586,1107402,1557415,6,1023,3,4,0,5389914,36
17,74,950,793347,837785,1293780,6,1027,0,0,1,5389914,36
18,12,962,1631986,1858694,1215464,13,1020,0,0,0,5389914,36
